Time;KBIn;PktIn;KBOut;PktOut
18:01:35;3;18;3;16
18:01:36;1;4;2;5
18:01:37;3;20;2;16
18:01:38;3;18;3;16
18:01:39;1;2;2;5
18:01:40;2;16;1;13
18:01:41;2;11;2;11
18:01:42;1;7;1;7
18:01:43;3;17;3;15
18:01:44;1;4;2;5
18:01:45;2;15;1;11
18:01:46;3;17;3;15
18:01:47;1;4;2;6
18:01:48;2;16;1;12
18:01:49;3;17;3;16
18:01:50;1;4;2;6
18:01:51;2;15;1;11
18:01:52;3;17;3;15
18:01:53;1;3;2;6
18:01:54;2;15;1;12
18:01:55;3;18;3;16
18:01:56;1;3;2;6
18:01:57;2;16;1;14
18:01:58;3;18;3;15
18:01:59;0;1;0;2
18:02:00;3;17;3;16
18:02:01;1;4;2;7
18:02:02;3;17;2;14
18:02:03;3;17;3;16
18:02:04;1;4;2;6
18:02:05;2;15;1;12
18:02:06;3;17;3;15
18:02:07;1;3;2;5
18:02:08;2;15;1;11
18:02:09;3;18;3;15
18:02:10;1;3;2;5
18:02:11;2;16;1;12
18:02:12;3;18;3;17
18:02:13;1;3;2;6
18:02:14;2;15;1;11
18:02:15;3;17;3;16
18:02:16;0;1;0;2
18:02:17;3;17;3;16
18:02:18;1;6;2;8
18:02:19;2;12;1;11
18:02:20;3;18;3;16
18:02:21;1;3;2;6
18:02:22;2;16;1;12
18:02:23;3;17;3;17
18:02:24;1;3;2;6
18:02:25;3;17;1;13
18:02:26;3;17;3;16
18:02:27;2;6;3;11
18:02:28;2;15;1;12
18:02:29;3;17;3;17
18:02:30;1;5;2;7
18:02:31;2;15;1;13
18:02:32;3;17;3;16
18:02:33;0;1;1;4
18:02:34;3;18;2;15
18:02:35;3;14;3;14
18:02:36;1;5;0;5
18:02:37;3;17;3;17
18:02:38;1;3;2;5
18:02:39;2;16;1;13
18:02:40;3;17;3;16
18:02:41;1;3;2;7
18:02:42;2;15;1;11
18:02:43;3;17;3;17
18:02:44;1;3;2;6
18:02:45;2;15;1;13
18:02:46;3;17;3;16
18:02:47;2;5;2;7
18:02:48;2;15;1;12
18:02:49;3;17;3;16
18:02:50;0;1;1;2
18:02:51;3;17;2;16
18:02:52;4;21;4;21
18:02:53;0;2;0;3
18:02:54;3;18;3;15
18:02:55;1;4;2;7
18:02:56;2;15;1;12
18:02:57;3;17;3;17
18:02:58;1;3;2;5
18:02:59;2;15;1;13
18:03:00;3;18;3;16
18:03:01;1;4;2;7
18:03:02;2;17;1;12
18:03:03;3;17;3;17
18:03:04;1;3;2;6
18:03:05;2;15;1;13
18:03:06;3;17;3;16
18:03:07;1;3;2;7
18:03:08;2;15;1;12
18:03:09;3;18;3;16
18:03:10;0;1;0;1
18:03:11;3;17;3;17
18:03:12;1;6;2;9
18:03:13;2;14;1;11
18:03:14;3;17;3;15
18:03:15;1;4;2;7
18:03:16;2;15;1;12
18:03:17;4;20;4;21
18:03:18;1;3;2;5
18:03:19;2;15;1;13
18:03:20;3;18;3;16
18:03:21;1;3;2;7
18:03:22;2;16;1;11
18:03:23;3;17;3;17
18:03:24;1;3;2;6
18:03:25;2;16;1;14
18:03:26;3;17;3;15
18:03:27;0;2;1;5
18:03:28;3;17;2;15
18:03:29;3;16;3;17
18:03:30;0;2;0;2
18:03:31;3;18;3;17
18:03:32;1;3;2;6
18:03:33;2;15;1;12
18:03:34;3;18;3;15
18:03:35;2;6;2;9
18:03:36;2;16;1;13
18:03:37;3;18;3;18
18:03:38;1;4;2;5
18:03:39;2;15;1;13
18:03:40;3;18;3;17
18:03:41;1;3;2;7
18:03:42;3;18;2;16
18:03:43;3;19;3;19
18:03:44;1;4;2;5
18:03:45;2;15;1;13
18:03:46;3;18;3;15
18:03:47;0;1;0;3
18:03:48;3;18;3;17
18:03:49;2;9;3;13
18:03:50;2;10;0;5
18:03:51;3;17;3;17
18:03:52;1;3;2;6
18:03:53;2;16;1;13
18:03:54;3;17;3;15
18:03:55;1;3;2;7
18:03:56;2;15;1;12
18:03:57;3;17;3;17
18:03:58;1;4;2;5
18:03:59;2;15;1;13
18:04:00;3;17;3;16
18:04:01;1;4;2;7
18:04:02;2;15;1;11
18:04:03;3;18;3;17
18:04:04;1;3;2;5
18:04:05;2;15;1;14
18:04:06;3;17;3;15
18:04:07;1;6;1;8
18:04:08;3;17;3;16
18:04:09;1;3;2;7
18:04:10;2;15;1;12
18:04:11;3;19;3;17
18:04:12;1;3;2;6
