cpu,sys,inter,ctxsw,KBRead,Reads,KBWrit,Writes,KBIn,PktIn,KBOut,PktOut,data,Time
2,1,1886,3408,0,0,0,0,0,1,0,1,2022-04-30,01:14:29
5,2,2465,4783,32,8,503,21,0,2,0,1,2022-04-30,01:14:30
4,2,1974,3418,2012,34,0,0,0,1,0,1,2022-04-30,01:14:31
3,1,2251,4172,20,5,8,1,0,1,0,1,2022-04-30,01:14:32
4,2,2273,4025,28,7,0,0,0,2,0,1,2022-04-30,01:14:33
5,2,2812,5302,144,16,192,6,0,3,0,3,2022-04-30,01:14:34
3,2,2238,4035,8,2,76,3,0,1,0,1,2022-04-30,01:14:35
4,2,2047,3750,24,6,0,0,0,4,1,3,2022-04-30,01:14:36
4,2,2174,3881,24,6,16,4,0,1,0,1,2022-04-30,01:14:37
6,3,2839,4981,1309,309,0,0,0,1,0,1,2022-04-30,01:14:38
3,1,2036,3416,16,4,0,0,1,6,1,5,2022-04-30,01:14:39
18,10,4012,9885,24,6,7608,1149,0,3,0,1,2022-04-30,01:14:40
7,4,2236,3978,12,3,0,0,0,5,0,3,2022-04-30,01:14:41
3,2,2400,4183,16,4,40,7,0,3,0,1,2022-04-30,01:14:42
3,1,2374,4356,40,6,0,0,0,1,0,1,2022-04-30,01:14:43
5,3,2904,5515,1128,21,232,11,0,1,0,1,2022-04-30,01:14:44
3,1,2081,3736,8,2,224,9,0,2,0,1,2022-04-30,01:14:45
3,1,2079,3732,8,2,0,0,0,1,0,1,2022-04-30,01:14:46
3,1,2131,3807,144,5,48,9,0,1,0,1,2022-04-30,01:14:47
3,1,2261,4117,60,14,0,0,0,2,0,1,2022-04-30,01:14:48
3,2,2080,3650,0,0,0,0,0,3,0,3,2022-04-30,01:14:49
6,3,2966,5525,28,7,496,19,0,1,0,1,2022-04-30,01:14:50
4,2,2053,3636,0,0,0,0,0,2,0,1,2022-04-30,01:14:51
4,2,2441,4473,28,7,1043,45,0,1,0,1,2022-04-30,01:14:52
4,2,2259,4175,80,19,0,0,0,1,0,1,2022-04-30,01:14:53
5,2,2812,5446,196,13,160,6,0,2,0,1,2022-04-30,01:14:54
4,1,2398,4127,16,4,3436,124,0,1,0,1,2022-04-30,01:14:55
3,2,2118,3693,4,1,0,0,0,1,0,1,2022-04-30,01:14:56
