ID,KBIn,PktIn,KBOut,PktOut,Data_original,Unix_time  
214,0,2,1,0,2022-04-26-3:25:13,1650968713000013
215,0,1,1,0,2022-04-26-3:25:14,1650968714000014
216,0,1,1,0,2022-04-26-3:25:15,1650968715000015
217,0,4,4,0,2022-04-26-3:25:16,1650968716000016
218,0,2,1,0,2022-04-26-3:25:17,1650968717000017
219,0,2,1,0,2022-04-26-3:25:18,1650968718000018
220,0,3,1,0,2022-04-26-3:25:19,1650968719000019
221,0,2,1,0,2022-04-26-3:25:20,165096872000002
222,1,8,6,1,2022-04-26-3:25:21,1650968721000021
223,0,2,1,0,2022-04-26-3:25:22,1650968722000022
224,0,1,1,0,2022-04-26-3:25:23,1650968723000023
225,0,1,1,0,2022-04-26-3:25:24,1650968724000024
226,0,1,1,0,2022-04-26-3:25:25,1650968725000025
227,0,2,2,0,2022-04-26-3:25:26,1650968726000026
228,0,1,1,0,2022-04-26-3:25:27,1650968727000027
229,0,1,1,0,2022-04-26-3:25:28,1650968728000028
230,0,1,1,0,2022-04-26-3:25:29,1650968729000029
231,0,1,1,0,2022-04-26-3:25:30,165096873000003
232,0,5,4,0,2022-04-26-3:25:31,1650968731000031
233,0,1,1,0,2022-04-26-3:25:32,1650968732000032
234,0,1,1,0,2022-04-26-3:25:33,1650968733000033
235,0,1,2,0,2022-04-26-3:25:34,1650968734000034
236,0,1,1,0,2022-04-26-3:25:35,1650968735000035
237,0,2,2,0,2022-04-26-3:25:36,1650968736000036
238,0,2,1,0,2022-04-26-3:25:37,1650968737000037
239,0,3,2,0,2022-04-26-3:25:38,1650968738000038
240,0,2,1,0,2022-04-26-3:25:39,1650968739000039
241,0,3,1,0,2022-04-26-3:25:40,165096874000004
242,1,8,8,1,2022-04-26-3:25:41,1650968741000041
243,0,1,1,0,2022-04-26-3:25:42,1650968742000042
244,0,1,1,0,2022-04-26-3:25:43,1650968743000043
245,0,2,1,0,2022-04-26-3:25:44,1650968744000044
246,1,8,6,1,2022-04-26-3:25:45,1650968745000045
247,3,19,18,3,2022-04-26-3:25:46,1650968746000046
248,1,6,4,2,2022-04-26-3:25:47,1650968747000047
249,0,1,1,0,2022-04-26-3:25:48,1650968748000048
250,0,2,1,0,2022-04-26-3:25:49,1650968749000049
251,0,1,1,0,2022-04-26-3:25:50,165096875000005
252,0,1,2,0,2022-04-26-3:25:51,1650968751000051
253,0,2,2,0,2022-04-26-3:25:52,1650968752000052
254,0,1,1,0,2022-04-26-3:25:53,1650968753000053
255,0,1,2,0,2022-04-26-3:25:54,1650968754000054
256,0,1,1,0,2022-04-26-3:25:55,1650968755000055
257,0,2,2,0,2022-04-26-3:25:56,1650968756000056
258,0,4,4,0,2022-04-26-3:25:57,1650968757000057
259,0,3,1,0,2022-04-26-3:25:58,1650968758000058
260,0,2,2,0,2022-04-26-3:25:59,1650968759000059
261,0,3,1,0,2022-04-26-3:26:0,16509687600
262,0,5,1,0,2022-04-26-3:26:1,1650968761000001
263,0,5,2,0,2022-04-26-3:26:2,1650968762000002
264,0,1,1,0,2022-04-26-3:26:3,1650968763000003
265,0,2,1,0,2022-04-26-3:26:4,1650968764000004
266,0,1,1,0,2022-04-26-3:26:5,1650968765000005
267,0,3,2,0,2022-04-26-3:26:6,1650968766000006
268,0,5,5,0,2022-04-26-3:26:7,1650968767000007
269,0,3,2,0,2022-04-26-3:26:8,1650968768000008
270,0,1,1,0,2022-04-26-3:26:9,1650968769000009
271,0,2,2,0,2022-04-26-3:26:10,165096877000001
272,1,5,5,1,2022-04-26-3:26:11,1650968771000011
273,0,1,1,0,2022-04-26-3:26:12,1650968772000012
274,0,1,1,0,2022-04-26-3:26:13,1650968773000013
275,0,2,1,0,2022-04-26-3:26:14,1650968774000014
276,0,1,1,0,2022-04-26-3:26:15,1650968775000015
277,0,1,2,0,2022-04-26-3:26:16,1650968776000016
