ID, Temperatura, Umidade, Tempo, Data,Unix_time, Discrepancia ,  
42,25,76,"1479626043,4043,4842,2097150,2837621,3498,2948,1339120,2411900,3531,2948,1322446,2407556,2951,3499,1452878,2077846,3991,4749,2139052,2698289,4752,3999,1729776,3629139,3575,3044,1380902,2555121,3040,3573,1532212,2177625,4958,4170,1882198,3667893,5276,6307,2819232,3679884,3030,3599,1533629,2169831,3625,3051,1373232,2557414",,1650913476279027200,1650927907007376,-1.6492625483720197e+18
43,25,76,"1479626043,4043,4842,2097150,2837621,3498,2948,1339120,2411900,3531,2948,1322446,2407556,2951,3499,1452878,2077846,3991,4749,2139052,2698289,4752,3999,1729776,3629139,3575,3044,1380902,2555121,3040,3573,1532212,2177625,4958,4170,1882198,3667893,5276,6307,2819232,3679884,3030,3599,1533629,2169831,3625,3051,1373232,2557414",,1650913505778138600,1650927907007376,-1.6492625778711311e+18
44,25,76,"1479626044,4060,5080,2297053,2843365,3556,2907,1247203,2838856,3531,2907,1246321,2835960,2897,3543,1687309,1928144,4206,5365,2192993,3175912,5412,4214,2055900,3643978,3458,2749,1190947,2649746,2751,3449,1589632,1845363,4980,3956,1779772,3769508,5106,6409,2900092,3593460,2789,3452,1639812,1886592,3442,2764,1208912,2689901",,1650913505778138600,1650927907007376,-1.6492625778711311e+18
45,4,76,"1479626044,4060,5080,2297053,2843365,3556,2907,1247203,2838856,3531,2907,1246321,2835960,2897,3543,1687309,1928144,4206,5365,2192993,3175912,5412,4214,2055900,3643978,3458,2749,1190947,2649746,2751,3449,1589632,1845363,4980,3956,1779772,3769508,5106,6409,2900092,3593460,2789,3452,1639812,1886592,3442,2764,1208912,2689901",,1650913505778138600,1650927908008484,-1.6492625778701302e+18
46,4,39,"1479626044,4060,5080,2297053,2843365,3556,2907,1247203,2838856,3531,2907,1246321,2835960,2897,3543,1687309,1928144,4206,5365,2192993,3175912,5412,4214,2055900,3643978,3458,2749,1190947,2649746,2751,3449,1589632,1845363,4980,3956,1779772,3769508,5106,6409,2900092,3593460,2789,3452,1639812,1886592,3442,2764,1208912,2689901",,1650913505778138600,1650927908008484,-1.6492625778701302e+18
47,4,39,"1479626044,4060,5080,2297053,2843365,3556,2907,1247203,2838856,3531,2907,1246321,2835960,2897,3543,1687309,1928144,4206,5365,2192993,3175912,5412,4214,2055900,3643978,3458,2749,1190947,2649746,2751,3449,1589632,1845363,4980,3956,1779772,3769508,5106,6409,2900092,3593460,2789,3452,1639812,1886592,3442,2764,1208912,2689901",,1650913506818870500,1650927908008484,-1.649262578910862e+18
48,4,39,"1479626044,4060,5080,2297053,2843365,3556,2907,1247203,2838856,3531,2907,1246321,2835960,2897,3543,1687309,1928144,4206,5365,2192993,3175912,5412,4214,2055900,3643978,3458,2749,1190947,2649746,2751,3449,1589632,1845363,4980,3956,1779772,3769508,5106,6409,2900092,3593460,2789,3452,1639812,1886592,3442,2764,1208912,2689901",,1650913506818870500,1650927908008484,-1.649262578910862e+18
49,33,39,"1479626044,4060,5080,2297053,2843365,3556,2907,1247203,2838856,3531,2907,1246321,2835960,2897,3543,1687309,1928144,4206,5365,2192993,3175912,5412,4214,2055900,3643978,3458,2749,1190947,2649746,2751,3449,1589632,1845363,4980,3956,1779772,3769508,5106,6409,2900092,3593460,2789,3452,1639812,1886592,3442,2764,1208912,2689901",,1650913506818870500,1650927937037933,-1.6492625788818327e+18
50,33,14,"1479626044,4060,5080,2297053,2843365,3556,2907,1247203,2838856,3531,2907,1246321,2835960,2897,3543,1687309,1928144,4206,5365,2192993,3175912,5412,4214,2055900,3643978,3458,2749,1190947,2649746,2751,3449,1589632,1845363,4980,3956,1779772,3769508,5106,6409,2900092,3593460,2789,3452,1639812,1886592,3442,2764,1208912,2689901",,1650913506818870500,1650927937037933,-1.6492625788818327e+18
51,33,14,"1479626044,4060,5080,2297053,2843365,3556,2907,1247203,2838856,3531,2907,1246321,2835960,2897,3543,1687309,1928144,4206,5365,2192993,3175912,5412,4214,2055900,3643978,3458,2749,1190947,2649746,2751,3449,1589632,1845363,4980,3956,1779772,3769508,5106,6409,2900092,3593460,2789,3452,1639812,1886592,3442,2764,1208912,2689901",,1650913536334205400,1650927937037933,-1.6492626083971676e+18
52,33,14,"1479626045,3789,4860,2122255,2849593,3400,2649,1261823,2515795,3356,2649,1249037,2510003,2652,3390,1493344,1972131,3980,4938,2333628,2717023,4892,3985,1717678,3963740,3462,2769,1298559,2652490,2766,3468,1579642,2045810,4928,3879,1833821,3658314,5002,6413,2754331,3749209,2719,3464,1521516,2071803,3463,2740,1311750,2596759",,1650913536334205400,1650927937037933,-1.6492626083971676e+18
53,20,14,"1479626045,3789,4860,2122255,2849593,3400,2649,1261823,2515795,3356,2649,1249037,2510003,2652,3390,1493344,1972131,3980,4938,2333628,2717023,4892,3985,1717678,3963740,3462,2769,1298559,2652490,2766,3468,1579642,2045810,4928,3879,1833821,3658314,5002,6413,2754331,3749209,2719,3464,1521516,2071803,3463,2740,1311750,2596759",,1650913536334205400,165092793903904,-1.6507484435403016e+18
54,20,6,"1479626045,3789,4860,2122255,2849593,3400,2649,1261823,2515795,3356,2649,1249037,2510003,2652,3390,1493344,1972131,3980,4938,2333628,2717023,4892,3985,1717678,3963740,3462,2769,1298559,2652490,2766,3468,1579642,2045810,4928,3879,1833821,3658314,5002,6413,2754331,3749209,2719,3464,1521516,2071803,3463,2740,1311750,2596759",,1650913536334205400,165092793903904,-1.6507484435403016e+18
55,20,6,"1479626045,3789,4860,2122255,2849593,3400,2649,1261823,2515795,3356,2649,1249037,2510003,2652,3390,1493344,1972131,3980,4938,2333628,2717023,4892,3985,1717678,3963740,3462,2769,1298559,2652490,2766,3468,1579642,2045810,4928,3879,1833821,3658314,5002,6413,2754331,3749209,2719,3464,1521516,2071803,3463,2740,1311750,2596759",,1650913537359058000,165092793903904,-1.650748444565154e+18
56,20,6,"1479626045,3789,4860,2122255,2849593,3400,2649,1261823,2515795,3356,2649,1249037,2510003,2652,3390,1493344,1972131,3980,4938,2333628,2717023,4892,3985,1717678,3963740,3462,2769,1298559,2652490,2766,3468,1579642,2045810,4928,3879,1833821,3658314,5002,6413,2754331,3749209,2719,3464,1521516,2071803,3463,2740,1311750,2596759",,1650913537359058000,165092793903904,-1.650748444565154e+18
57,16,6,"1479626045,3789,4860,2122255,2849593,3400,2649,1261823,2515795,3356,2649,1249037,2510003,2652,3390,1493344,1972131,3980,4938,2333628,2717023,4892,3985,1717678,3963740,3462,2769,1298559,2652490,2766,3468,1579642,2045810,4928,3879,1833821,3658314,5002,6413,2754331,3749209,2719,3464,1521516,2071803,3463,2740,1311750,2596759",,1650913537359058000,1650927968008493,-1.6492626093910495e+18
58,16,28,"1479626045,3789,4860,2122255,2849593,3400,2649,1261823,2515795,3356,2649,1249037,2510003,2652,3390,1493344,1972131,3980,4938,2333628,2717023,4892,3985,1717678,3963740,3462,2769,1298559,2652490,2766,3468,1579642,2045810,4928,3879,1833821,3658314,5002,6413,2754331,3749209,2719,3464,1521516,2071803,3463,2740,1311750,2596759",,1650913537359058000,1650927968008493,-1.6492626093910495e+18
59,16,28,"1479626045,3789,4860,2122255,2849593,3400,2649,1261823,2515795,3356,2649,1249037,2510003,2652,3390,1493344,1972131,3980,4938,2333628,2717023,4892,3985,1717678,3963740,3462,2769,1298559,2652490,2766,3468,1579642,2045810,4928,3879,1833821,3658314,5002,6413,2754331,3749209,2719,3464,1521516,2071803,3463,2740,1311750,2596759",,1650913566887137800,1650927968008493,-1.6492626389191293e+18
60,16,28,"1479626046,3893,4953,2215548,2706867,3506,2769,1219389,2628679,3537,2769,1229801,2619991,2780,3519,1578653,1896031,3831,4940,2120632,2884865,4932,3822,1835961,3555226,3601,2782,1301823,2477807,2784,3597,1489318,2029022,5003,3910,1803591,3691262,5063,6455,2822446,3706916,2809,3644,1534834,1992338,3642,2804,1279517,2525102",,1650913566887137800,1650927968008493,-1.6492626389191293e+18
61,7,28,"1479626046,3893,4953,2215548,2706867,3506,2769,1219389,2628679,3537,2769,1229801,2619991,2780,3519,1578653,1896031,3831,4940,2120632,2884865,4932,3822,1835961,3555226,3601,2782,1301823,2477807,2784,3597,1489318,2029022,5003,3910,1803591,3691262,5063,6455,2822446,3706916,2809,3644,1534834,1992338,3642,2804,1279517,2525102",,1650913566887137800,1650927969009594,-1.649262638918128e+18
62,7,83,"1479626046,3893,4953,2215548,2706867,3506,2769,1219389,2628679,3537,2769,1229801,2619991,2780,3519,1578653,1896031,3831,4940,2120632,2884865,4932,3822,1835961,3555226,3601,2782,1301823,2477807,2784,3597,1489318,2029022,5003,3910,1803591,3691262,5063,6455,2822446,3706916,2809,3644,1534834,1992338,3642,2804,1279517,2525102",,1650913566887137800,1650927969009594,-1.649262638918128e+18
63,7,83,"1479626046,3893,4953,2215548,2706867,3506,2769,1219389,2628679,3537,2769,1229801,2619991,2780,3519,1578653,1896031,3831,4940,2120632,2884865,4932,3822,1835961,3555226,3601,2782,1301823,2477807,2784,3597,1489318,2029022,5003,3910,1803591,3691262,5063,6455,2822446,3706916,2809,3644,1534834,1992338,3642,2804,1279517,2525102",,1650913567900295000,1650927969009594,-1.6492626399312852e+18
64,7,83,"1479626046,3893,4953,2215548,2706867,3506,2769,1219389,2628679,3537,2769,1229801,2619991,2780,3519,1578653,1896031,3831,4940,2120632,2884865,4932,3822,1835961,3555226,3601,2782,1301823,2477807,2784,3597,1489318,2029022,5003,3910,1803591,3691262,5063,6455,2822446,3706916,2809,3644,1534834,1992338,3642,2804,1279517,2525102",,1650913567900295000,1650927969009594,-1.6492626399312852e+18
65,40,83,"1479626046,3893,4953,2215548,2706867,3506,2769,1219389,2628679,3537,2769,1229801,2619991,2780,3519,1578653,1896031,3831,4940,2120632,2884865,4932,3822,1835961,3555226,3601,2782,1301823,2477807,2784,3597,1489318,2029022,5003,3910,1803591,3691262,5063,6455,2822446,3706916,2809,3644,1534834,1992338,3642,2804,1279517,2525102",,1650913567900295000,1650927999039037,-1.649262639901256e+18
66,40,31,"1479626046,3893,4953,2215548,2706867,3506,2769,1219389,2628679,3537,2769,1229801,2619991,2780,3519,1578653,1896031,3831,4940,2120632,2884865,4932,3822,1835961,3555226,3601,2782,1301823,2477807,2784,3597,1489318,2029022,5003,3910,1803591,3691262,5063,6455,2822446,3706916,2809,3644,1534834,1992338,3642,2804,1279517,2525102",,1650913567900295000,1650927999039037,-1.649262639901256e+18
67,40,31,"1479626046,3893,4953,2215548,2706867,3506,2769,1219389,2628679,3537,2769,1229801,2619991,2780,3519,1578653,1896031,3831,4940,2120632,2884865,4932,3822,1835961,3555226,3601,2782,1301823,2477807,2784,3597,1489318,2029022,5003,3910,1803591,3691262,5063,6455,2822446,3706916,2809,3644,1534834,1992338,3642,2804,1279517,2525102",,1650913597433454800,1650927999039037,-1.6492626694344159e+18
68,40,31,"1479626050,5378,6184,2246319,2659367,4826,4289,1355351,2514908,5449,4411,1476703,2407503,4425,5468,1630474,2249657,6343,8375,2930552,3560436,8385,6319,2618725,4281452,5236,4386,1440805,2658269,4358,5249,1684257,2212246,15065,10241,4420017,7275246,13316,18016,6134161,7405346,5081,6497,1949522,2803562,6486,5090,1819787,2839599",,1650913597433454800,1650927999039037,-1.6492626694344159e+18
69,20,31,"1479626050,5378,6184,2246319,2659367,4826,4289,1355351,2514908,5449,4411,1476703,2407503,4425,5468,1630474,2249657,6343,8375,2930552,3560436,8385,6319,2618725,4281452,5236,4386,1440805,2658269,4358,5249,1684257,2212246,15065,10241,4420017,7275246,13316,18016,6134161,7405346,5081,6497,1949522,2803562,6486,5090,1819787,2839599",,1650913597433454800,1650928000040107,-1.6492626694334147e+18
70,20,11,"1479626050,5378,6184,2246319,2659367,4826,4289,1355351,2514908,5449,4411,1476703,2407503,4425,5468,1630474,2249657,6343,8375,2930552,3560436,8385,6319,2618725,4281452,5236,4386,1440805,2658269,4358,5249,1684257,2212246,15065,10241,4420017,7275246,13316,18016,6134161,7405346,5081,6497,1949522,2803562,6486,5090,1819787,2839599",,1650913597433454800,1650928000040107,-1.6492626694334147e+18
71,20,11,"1479626050,5378,6184,2246319,2659367,4826,4289,1355351,2514908,5449,4411,1476703,2407503,4425,5468,1630474,2249657,6343,8375,2930552,3560436,8385,6319,2618725,4281452,5236,4386,1440805,2658269,4358,5249,1684257,2212246,15065,10241,4420017,7275246,13316,18016,6134161,7405346,5081,6497,1949522,2803562,6486,5090,1819787,2839599",,1650913598448886300,1650928000040107,-1.649262670448846e+18
72,20,11,"1479626050,5378,6184,2246319,2659367,4826,4289,1355351,2514908,5449,4411,1476703,2407503,4425,5468,1630474,2249657,6343,8375,2930552,3560436,8385,6319,2618725,4281452,5236,4386,1440805,2658269,4358,5249,1684257,2212246,15065,10241,4420017,7275246,13316,18016,6134161,7405346,5081,6497,1949522,2803562,6486,5090,1819787,2839599",,1650913598448886300,1650928000040107,-1.649262670448846e+18
